"S_NAME","S_RA","S_DEC","S_RADIUS","S_TEMPERATURE","P_SEMI_MAJOR_AXIS","P_PERIOD","P_ECCENTRICITY","P_INCLINATION","P_NAME","P_DETECTION","P_DISCOVERY_FACILITY","P_YEAR","P_RADIUS","P_MASS","P_DENSITY","P_TEMP_EQUIL","P_TEMP_SURF","P_FLUX","P_HABZONE_OPT","P_HABZONE_CON","P_TYPE_TEMP","P_HABITABLE","P_ESI","S_TYPE","S_LUMINOSITY","S_TEMPERATURE","S_DISTANCE","S_HZ_OPT_MAX","S_HZ_OPT_MIN","S_HZ_CON_MAX","S_HZ_CON_MIN","S_TIDAL_LOCK","S_SNOW_LINE"
"Kepler-62","283.21256","45.349699","0.64","4925","0.0553","5.714932","0","89.2","Kepler-62 b","Transit","Kepler","2013","1.31","9","4.0033967","733.2248","828.06219","68.635648","0","0","Hot","0","0.30667741","K2 V","0.20989399","4925","300.874","0.87329745","0.36011043","0.82796407","0.45613362","0.43721079","1.2369831"
"Kepler-62","283.21256","45.349699","0.64","4925","0.0929","12.4417","0","89.7","Kepler-62 c","Transit","Kepler","2013","0.54","4","25.402632","565.70739","638.8776","24.32028","0","0","Hot","0","0.31535213","K2 V","0.20989399","4925","300.874","0.87329745","0.36011043","0.82796407","0.45613362","0.43721079","1.2369831"
"Kepler-62","283.21256","45.349699","0.64","4925","0.12","18.16406","0","89.7","Kepler-62 d","Transit","Kepler","2013","1.95","14","1.8880966","497.7475","562.12759","14.575971","0","0","Hot","0","0.34296602","K2 V","0.20989399","4925","300.874","0.87329745","0.36011043","0.82796407","0.45613362","0.43721079","1.2369831"
"Kepler-62","283.21256","45.349699","0.64","4925","0.427","122.3874","0","89.98","Kepler-62 e","Transit","Kepler","2013","1.61","36","8.6263063","263.86742","297.99679","1.1511827","1","0","Warm","2","0.82742754","K2 V","0.20989399","4925","300.874","0.87329745","0.36011043","0.82796407","0.45613362","0.43721079","1.2369831"
"Kepler-62","283.21256","45.349699","0.64","4925","0.718","267.291","0","89.9","Kepler-62 f","Transit","Kepler","2013","1.41","35","12.485637","203.48738","229.80702","0.40714688","1","1","Warm","1","0.67871408","K2 V","0.20989399","4925","300.874","0.87329745","0.36011043","0.82796407","0.45613362","0.43721079","1.2369831"
"TRAPPIST-1","346.62639","-5.0434618","0.12","2566","0.01154","1.510826","0.00622","89.728","TRAPPIST-1 b","Transit","La Silla Observatory","2016","1.116","1.374","0.98853978","363.70206","410.74432","4.1552464","0","0","Hot","0","0.56548578","M8.0V","0.00055335011","2566","12.429889","0.052571714","0.019437936","0.049840137","0.024620039","0.14282382","0.063513166"
"TRAPPIST-1","346.62639","-5.0434618","0.12","2566","0.0158","2.421937","0.00654","89.778","TRAPPIST-1 c","Transit","La Silla Observatory","2016","1.097","1.308","0.99080425","310.82791","351.03128","2.2166397","0","0","Hot","0","0.73055616","M8.0V","0.00055335011","2566","12.429889","0.052571714","0.019437936","0.049840137","0.024620039","0.14282382","0.063513166"
"TRAPPIST-1","346.62639","-5.0434618","0.12","2566","0.02227","4.049219","0.00837","89.896","TRAPPIST-1 d","Transit","La Silla Observatory","2016","0.788","0.388","0.79296327","261.81089","295.67425","1.1157703","1","0","Warm","1","0.90766241","M8.0V","0.00055335011","2566","12.429889","0.052571714","0.019437936","0.049840137","0.024620039","0.14282382","0.063513166"
"TRAPPIST-1","346.62639","-5.0434618","0.12","2566","0.02925","6.101013","0.0051","89.793","TRAPPIST-1 e","Transit","Multiple Observatories","2017","0.92","0.692","0.88867428","228.44732","257.99535","0.64677602","1","1","Warm","1","0.84549451","M8.0V","0.00055335011","2566","12.429889","0.052571714","0.019437936","0.049840137","0.024620039","0.14282382","0.063513166"
"TRAPPIST-1","346.62639","-5.0434618","0.12","2566","0.03849","9.20754","0.01007","89.74","TRAPPIST-1 f","Transit","Multiple Observatories","2017","1.045","1.039","0.91047217","199.14665","224.90485","0.37353061","1","1","Warm","1","0.67711241","M8.0V","0.00055335011","2566","12.429889","0.052571714","0.019437936","0.049840137","0.024620039","0.14282382","0.063513166"
"TRAPPIST-1","346.62639","-5.0434618","0.12","2566","0.04683","12.352446","0.00208","89.742","TRAPPIST-1 g","Transit","Multiple Observatories","2017","1.129","1.321","0.91795415","180.54585","203.89817","0.25232055","1","1","Warm","1","0.57566382","M8.0V","0.00055335011","2566","12.429889","0.052571714","0.019437936","0.049840137","0.024620039","0.14282382","0.063513166"
"TRAPPIST-1","346.62639","-5.0434618","0.12","2566","0.06189","18.772866","0.00567","89.805","TRAPPIST-1 h","Transit","Multiple Observatories","2017","0.755","0.326","0.75748972","157.05024","177.36356","0.14446612","0","0","Cold","0","0.46227141","M8.0V","0.00055335011","2566","12.429889","0.052571714","0.019437936","0.049840137","0.024620039","0.14282382","0.063513166"
"Teegarden's Star","43.269145","16.864902","0.12","3034","0.0259","4.90634","0.03","","Teegarden's Star b","Radial Velocity","Calar Alto Observatory","2019","1.05","1.16","1.0020516","259.52272","293.09014","1.0779435","1","0","Warm","1","0.96836238","M7.0 V","0.0007227698","3034","3.83078","0.058638083","0.022097557","0.055592337","0.027989303","0.23482256","0.072587822"
"Teegarden's Star","43.269145","16.864902","0.12","3034","0.0455","11.416","0.04","","Teegarden's Star c","Radial Velocity","Calar Alto Observatory","2019","1.02","1.05","0.98943845","195.79453","221.11916","0.34940163","1","1","Warm","1","0.65900478","M7.0 V","0.0007227698","3034","3.83078","0.058638083","0.022097557","0.055592337","0.027989303","0.23482256","0.072587822"
"Teegarden's Star","43.269145","16.864902","0.12","3034","0.0791","26.13","0.07","","Teegarden's Star d","Radial Velocity","Multiple Observatories","2024","0.954","0.82","0.94442773","148.46644","167.66951","0.11580136","0","0","Cold","0","0.43941754","M7.0 V","0.0007227698","3034","3.83078","0.058638083","0.022097557","0.055592337","0.027989303","0.23482256","0.072587822"
"TOI-700","97.095716","-65.578615","0.42","3459","0.0677","9.977219","0.075","89.6","TOI-700 b","Transit","Transiting Exoplanet Survey Satellite (TESS)","2020","0.914","0.704","0.92200669","380.76101","430.00972","5.0124213","0","0","Hot","0","0.52704018","M2.5 V","0.022908677","3459","31.1265","0.32205817","0.12385633","0.30533402","0.15688173","0.28663099","0.40866154"
"TOI-700","97.095716","-65.578615","0.42","3459","0.0929","16.051137","0.068","88.903","TOI-700 c","Transit","Transiting Exoplanet Survey Satellite (TESS)","2020","2.6","7.27","0.41363223","325.06199","NA","2.6605718","0","0","Hot","0","0.55093562","M2.5 V","0.022908677","3459","31.1265","0.32205817","0.12385633","0.30533402","0.15688173","0.28663099","0.40866154"
"TOI-700","97.095716","-65.578615","0.42","3459","0.1633","37.42396","0.042","89.8","TOI-700 d","Transit","Transiting Exoplanet Survey Satellite (TESS)","2020","1.073","1.25","1.0118377","245.2216","276.93926","0.85982688","1","1","Warm","1","0.94117592","M2.5 V","0.022908677","3459","31.1265","0.32205817","0.12385633","0.30533402","0.15688173","0.28663099","0.40866154"
"TOI-700","97.095716","-65.578615","0.42","3459","0.134","27.80978","0.059","89.6","TOI-700 e","Transit","Transiting Exoplanet Survey Satellite (TESS)","2023","0.953","0.818","0.94509312","270.67786","305.68811","1.2780493","1","0","Warm","1","0.91203186","M2.5 V","0.022908677","3459","31.1265","0.32205817","0.12385633","0.30533402","0.15688173","0.28663099","0.40866154"
"Proxima Cen","217.39347","-62.676182","0.14","2900","0.04856","11.1868","0.02","","Proxima Cen b","Radial Velocity","European Southern Observatory","2016","1.03","1.07","0.97920158","231.1796","261.08103","0.67846824","1","1","Warm","1","0.86414229","M5.5 V","0.001599558","2900","1.30119","0.087887595","0.032919202","0.083322159","0.041696016","0.22755071","0.10798508"
